epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.821,1.49706,2.36691,0.91388,0.02331,0.22735,0.11064,0.05002,1.7075,3.07542,0.90467,0.000405983,0.000405983,0.000405983
2,428.042,1.31227,1.14625,0.86837,0.947,0.2083,0.23248,0.12675,1.31051,1.65425,0.84614,0.000741207,0.000741207,0.000741207
3,635.308,1.26321,1.04742,0.8576,0.9331,0.21143,0.23363,0.12951,1.42001,1.4086,0.87259,0.000993932,0.000993932,0.000993932
4,838.004,1.24356,0.99876,0.85639,0.78287,0.23229,0.25719,0.14873,1.24676,1.16159,0.85311,0.00087875,0.00087875,0.00087875
5,1036.88,1.13349,0.92343,0.84485,0.78471,0.26373,0.29766,0.18802,1.1671,0.99117,0.84875,0.000755,0.000755,0.000755
6,1235.48,1.09474,0.86213,0.83716,0.56953,0.33151,0.43583,0.2716,1.05804,0.84185,0.83568,0.00063125,0.00063125,0.00063125
7,1437.82,1.07354,0.80622,0.83675,0.76793,0.41435,0.52382,0.32779,1.05646,0.78842,0.83391,0.0005075,0.0005075,0.0005075
8,1642.62,1.06174,0.76216,0.83126,0.78449,0.54626,0.619,0.39372,1.06545,0.76025,0.83315,0.00038375,0.00038375,0.00038375
9,1844.52,1.01506,0.72894,0.82805,0.81123,0.55906,0.64695,0.41744,1.0073,0.68579,0.82966,0.00026,0.00026,0.00026
10,2047.14,0.99783,0.71104,0.8236,0.82172,0.58513,0.66998,0.42544,0.98502,0.67356,0.82698,0.00013625,0.00013625,0.00013625
